what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1331904914755
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1331904914755
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1331904914755
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1331904914755
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1331904914755
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1331904914770
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1331904914770
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1331904914770
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1331904914801
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1331904914801
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1331904914801
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1331904914801
os,sysinfo,,,"win32",1331904914817
arch,sysinfo,,,"x86_64",1331904914817
ws,sysinfo,,,"win32",1331904914817
locale,sysinfo,,,"en_US",1331904914817
processors,sysinfo,,,"3",1331904914817
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331904914817
java.runtime.version,sysinfo,,,"1.7.0-b147",1331904914817
java.specification.name,sysinfo,,,"Java Platform API Specification",1331904914817
java.specification.vendor,sysinfo,,,"Oracle Corporation",1331904914817
java.specification.version,sysinfo,,,"1.7",1331904914817
java.vendor,sysinfo,,,"Oracle Corporation",1331904914817
java.version,sysinfo,,,"1.7.0",1331904914817
java.vm.info,sysinfo,,,"mixed mode",1331904914817
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1331904914817
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331904914817
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1331904914817
java.vm.specification.version,sysinfo,,,"1.7",1331904914817
java.vm.vendor,sysinfo,,,"Oracle Corporation",1331904914817
java.vm.version,sysinfo,,,"21.0-b17",1331904914817
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1331904914879
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1331904915254
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1331904915301
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1331904915363
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1331904916580
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1331904917063
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1331904917126
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1331904917126
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1331904919481
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1331904919575
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1331904919747
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331904921790
